frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
93,  car,0.718,491.500,409.500,457,388,69,43,1280,720
93,  truck,0.582,291.000,382.500,255,365,72,35,1280,720
94,  car,0.770,489.000,410.000,454,388,70,44,1280,720
94,  truck,0.520,291.500,381.500,255,364,73,35,1280,720
95,  car,0.759,487.000,410.000,451,388,72,44,1280,720
95,  truck,0.599,291.000,381.500,255,364,72,35,1280,720
96,  car,0.752,484.000,411.500,448,389,72,45,1280,720
96,  truck,0.533,292.000,381.500,255,364,74,35,1280,720
97,  car,0.789,482.500,412.000,445,389,75,46,1280,720
97,  truck,0.587,293.000,381.000,256,363,74,36,1280,720
98,  car,0.777,479.500,411.500,442,388,75,47,1280,720
99,  car,0.801,476.500,413.000,437,389,79,48,1280,720
99,  truck,0.585,293.500,381.000,256,363,75,36,1280,720
100,  car,0.825,474.000,413.500,435,389,78,49,1280,720
101,  car,0.820,470.500,414.000,431,389,79,50,1280,720
101,  truck,0.623,294.500,382.000,257,364,75,36,1280,720
102,  car,0.809,468.000,415.000,427,390,82,50,1280,720
102,  truck,0.584,294.500,382.000,257,364,75,36,1280,720
103,  car,0.827,465.000,418.500,423,396,84,45,1280,720
103,  truck,0.556,294.500,382.500,257,364,75,37,1280,720
104,  car,0.817,462.000,418.000,419,394,86,48,1280,720
104,  truck,0.677,295.000,382.500,257,364,76,37,1280,720
105,  car,0.820,458.500,418.500,415,393,87,51,1280,720
105,  truck,0.620,295.000,381.500,257,363,76,37,1280,720
106,  car,0.851,453.500,418.000,409,391,89,54,1280,720
107,  car,0.850,451.000,418.500,406,391,90,55,1280,720
107,  truck,0.537,296.500,381.500,258,363,77,37,1280,720
108,  car,0.843,447.500,418.500,401,390,93,57,1280,720
109,  car,0.804,444.500,418.500,397,389,95,59,1280,720
110,  car,0.695,439.500,419.000,391,389,97,60,1280,720
110,  truck,0.584,298.000,381.000,259,362,78,38,1280,720
111,  car,0.795,437.000,420.500,388,390,98,61,1280,720
112,  car,0.855,432.500,421.500,382,390,101,63,1280,720
113,  car,0.854,427.500,422.500,376,390,103,65,1280,720
114,  car,0.883,422.500,423.000,369,389,107,68,1280,720
115,  car,0.886,417.500,423.500,363,389,109,69,1280,720
116,  car,0.896,412.500,425.000,357,389,111,72,1280,720
117,  car,0.894,408.000,426.500,351,390,114,73,1280,720
118,  car,0.863,403.500,427.000,344,389,119,76,1280,720
119,  car,0.883,398.000,428.000,336,389,124,78,1280,720
120,  car,0.874,392.000,429.500,328,389,128,81,1280,720
121,  car,0.873,386.000,431.500,320,390,132,83,1280,720
122,  car,0.889,379.500,433.000,311,390,137,86,1280,720
123,  car,0.905,373.000,433.500,302,389,142,89,1280,720
124,  car,0.905,373.000,433.500,302,389,142,89,1280,720
125,  car,0.901,365.000,437.000,291,391,148,92,1280,720
126,  car,0.902,357.000,438.500,281,391,152,95,1280,720
127,  car,0.902,348.000,439.500,268,390,160,99,1280,720
128,  car,0.890,340.000,442.000,257,391,166,102,1280,720
129,  car,0.848,330.500,445.500,243,392,175,107,1280,720
130,  car,0.891,319.500,447.500,229,392,181,111,1280,720
131,  car,0.865,308.000,450.500,213,392,190,117,1280,720
132,  car,0.898,298.000,454.000,198,393,200,122,1280,720
133,  car,0.909,284.500,456.000,179,392,211,128,1280,720
134,  car,0.911,270.000,460.000,159,392,222,136,1280,720
135,  car,0.920,256.500,462.500,138,392,237,141,1280,720
136,  car,0.927,240.000,467.000,116,393,248,148,1280,720
137,  car,0.935,221.500,470.000,89,392,265,156,1280,720
138,  car,0.926,201.500,474.000,60,391,283,166,1280,720
139,  car,0.917,178.500,481.000,26,393,305,176,1280,720
140,  car,0.920,159.500,486.000,0,394,319,184,1280,720
141,  car,0.908,151.000,490.000,0,394,302,192,1280,720
142,  car,0.910,143.000,497.000,0,395,286,204,1280,720
143,  car,0.917,134.500,497.000,0,395,269,204,1280,720
144,  car,0.900,124.500,499.000,0,396,249,206,1280,720
145,  car,0.901,113.000,499.000,0,397,226,204,1280,720
146,  car,0.870,101.500,498.000,0,392,203,212,1280,720
147,  car,0.878,86.000,500.000,0,394,172,212,1280,720
148,  car,0.845,70.500,497.000,0,388,141,218,1280,720
148,  truck,0.586,329.500,381.500,282,358,95,47,1280,720
149,  car,0.790,52.000,499.000,0,391,104,216,1280,720
149,  truck,0.583,330.500,382.000,283,358,95,48,1280,720
150,  car,0.651,32.000,505.500,0,411,64,189,1280,720
150,  truck,0.535,331.500,382.500,284,359,95,47,1280,720
151,  truck,0.572,333.000,382.500,285,359,96,47,1280,720
152,  truck,0.571,333.500,381.500,285,358,97,47,1280,720
157,  truck,0.520,340.500,382.000,290,358,101,48,1280,720
161,  truck,0.526,342.500,381.500,292,357,101,49,1280,720
165,  truck,0.522,347.500,381.500,296,357,103,49,1280,720
167,  truck,0.584,348.000,382.000,297,357,102,50,1280,720
