frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
71,  pedestrian,0.714,455.500,301.000,439,272,33,58,1280,720
71,  pedestrian,0.605,530.000,303.000,515,280,30,46,1280,720
72,  pedestrian,0.714,463.000,301.000,447,273,32,56,1280,720
73,  pedestrian,0.643,470.000,302.500,455,273,30,59,1280,720
73,  pedestrian,0.606,543.500,304.000,529,279,29,50,1280,720
74,  pedestrian,0.603,476.500,299.000,462,273,29,52,1280,720
74,  pedestrian,0.530,516.500,311.000,505,297,23,28,1280,720
75,  pedestrian,0.559,482.500,298.500,467,273,31,51,1280,720
76,  pedestrian,0.643,492.000,302.000,477,274,30,56,1280,720
77,  pedestrian,0.673,498.000,303.000,481,273,34,60,1280,720
78,  pedestrian,0.670,505.500,303.000,490,274,31,58,1280,720
79,  pedestrian,0.683,514.500,302.500,498,273,33,59,1280,720
79,  car,0.528,904.000,323.500,886,317,36,13,1280,720
80,  pedestrian,0.727,522.500,304.000,506,275,33,58,1280,720
81,  pedestrian,0.559,528.000,299.500,512,275,32,49,1280,720
82,  pedestrian,0.670,537.000,305.000,522,276,30,58,1280,720
83,  pedestrian,0.613,545.000,304.500,530,275,30,59,1280,720
84,  pedestrian,0.702,553.000,304.000,535,274,36,60,1280,720
85,  pedestrian,0.615,560.500,304.000,544,273,33,62,1280,720
86,  pedestrian,0.587,569.000,302.500,553,273,32,59,1280,720
87,  pedestrian,0.566,577.500,303.000,562,275,31,56,1280,720
88,  pedestrian,0.685,587.000,305.000,569,275,36,60,1280,720
88,  bicycle,0.541,953.000,340.000,946,328,14,24,1280,720
89,  pedestrian,0.658,592.500,305.500,574,275,37,61,1280,720
90,  pedestrian,0.676,599.500,306.000,576,276,47,60,1280,720
91,  pedestrian,0.716,607.500,305.500,586,275,43,61,1280,720
92,  pedestrian,0.672,617.500,308.500,600,279,35,59,1280,720
93,  pedestrian,0.584,625.000,305.500,607,277,36,57,1280,720
95,  pedestrian,0.527,640.000,307.000,621,276,38,62,1280,720
95,  bicycle,0.503,982.000,342.000,974,330,16,24,1280,720
96,  pedestrian,0.510,651.500,308.000,633,278,37,60,1280,720
99,  bicycle,0.589,999.000,342.500,990,330,18,25,1280,720
101,  pedestrian,0.588,690.000,306.000,670,278,40,56,1280,720
103,  pedestrian,0.569,711.500,306.000,694,278,35,56,1280,720
105,  pedestrian,0.539,732.500,305.500,713,278,39,55,1280,720
110,  pedestrian,0.530,776.500,305.500,761,277,31,57,1280,720
140,  pedestrian,0.581,17.500,386.500,0,316,35,141,1280,720
141,  bicycle,0.529,1223.000,347.500,1212,333,22,29,1280,720
141,  pedestrian,0.524,949.000,308.500,938,291,22,35,1280,720
142,  bicycle,0.616,29.000,426.500,0,385,58,83,1280,720
143,  bicycle,0.576,35.500,429.000,0,380,71,98,1280,720
144,  bicycle,0.551,54.000,432.500,5,381,98,103,1280,720
147,  bicycle,0.568,106.000,444.500,49,386,114,117,1280,720
148,  bicycle,0.536,123.500,450.000,67,391,113,118,1280,720
150,  bicycle,0.513,177.500,460.500,108,393,139,135,1280,720
151,  bicycle,0.542,199.000,460.000,131,391,136,138,1280,720
152,  bicycle,0.701,216.000,468.000,152,402,128,132,1280,720
153,  bicycle,0.748,243.500,468.000,179,400,129,136,1280,720
154,  bicycle,0.790,277.500,474.500,209,402,137,145,1280,720
155,  bicycle,0.766,315.000,480.000,239,406,152,148,1280,720
155,  pedestrian,0.503,1025.000,303.500,1014,287,22,33,1280,720
156,  bicycle,0.683,362.500,444.500,279,326,167,237,1280,720
