frame-number,detected-left,detected-right,left-status,right-status
264,1,1,safe,safe
265,1,1,safe,safe
266,1,1,safe,safe
267,1,1,safe,safe
268,1,1,safe,safe
269,1,1,safe,safe
270,1,1,safe,safe
271,1,1,safe,safe
272,1,1,safe,safe
273,1,1,safe,safe
274,1,1,safe,safe
275,1,1,safe,safe
276,1,1,safe,safe
277,1,1,safe,safe
278,1,1,safe,safe
279,1,1,safe,safe
280,1,1,safe,safe
281,1,1,safe,safe
282,1,1,safe,safe
283,1,1,safe,safe
284,1,1,safe,safe
285,1,1,safe,safe
286,1,1,safe,safe
287,1,1,safe,safe
288,1,1,safe,safe
289,1,1,safe,safe
290,1,1,safe,safe
291,1,1,safe,safe
292,1,1,safe,safe
293,1,1,safe,safe
294,1,1,safe,safe
295,1,1,safe,safe
296,1,1,safe,safe
297,1,1,safe,safe
298,1,1,safe,safe
299,1,1,safe,safe
300,1,1,safe,safe
301,1,1,safe,safe
302,1,1,safe,safe
303,1,1,safe,safe
304,1,1,safe,safe
305,1,1,safe,safe
306,1,1,safe,safe
307,1,1,safe,safe
308,1,1,safe,safe
309,1,1,safe,safe
310,1,1,safe,safe
311,1,1,safe,safe
312,1,1,safe,safe
313,1,1,safe,safe
314,1,1,safe,safe
315,1,1,safe,safe
316,1,1,safe,safe
317,1,1,safe,safe
318,1,1,safe,safe
319,1,1,safe,safe
320,1,1,safe,safe
321,1,1,safe,safe
322,1,1,safe,safe
323,1,1,safe,safe
324,1,1,safe,safe
325,1,1,safe,safe
326,1,1,safe,safe
327,1,1,safe,safe
328,1,1,safe,safe
329,1,1,safe,safe
330,1,1,safe,safe
331,1,1,safe,safe
332,1,1,safe,safe
333,1,1,safe,safe
334,1,1,safe,safe
335,1,1,safe,safe
336,1,1,safe,safe
337,1,1,safe,safe
338,1,1,safe,safe
339,1,1,safe,safe
340,1,1,safe,safe
341,1,1,safe,safe
342,1,1,safe,safe
343,1,1,safe,safe
344,1,1,safe,safe
345,1,1,safe,safe
346,1,1,safe,safe
347,1,1,safe,safe
348,1,1,safe,safe
349,1,1,safe,safe
350,1,1,safe,safe
351,1,1,safe,safe
352,1,1,safe,safe
353,1,1,safe,safe
354,1,1,safe,safe
355,1,1,safe,safe
356,1,1,safe,safe
357,1,1,safe,safe
358,1,1,safe,safe
359,1,1,safe,safe
360,1,1,safe,safe
361,1,1,safe,safe
362,1,1,safe,safe
363,1,1,safe,safe
364,1,1,safe,safe
365,1,1,safe,safe
366,1,1,safe,safe
367,1,1,safe,safe
368,1,1,safe,safe
369,1,1,safe,safe
370,1,1,safe,safe
371,1,1,safe,safe
372,1,1,safe,safe
373,1,1,safe,safe
374,1,1,safe,safe
375,1,1,safe,safe
376,1,1,safe,safe
377,1,1,safe,safe
378,1,1,safe,safe
379,1,1,safe,safe
380,1,1,safe,safe
381,1,1,safe,safe
382,1,1,safe,safe
383,1,1,safe,safe
384,1,1,safe,safe
385,1,1,safe,safe
386,1,1,safe,safe
387,1,1,safe,safe
388,1,1,safe,safe
389,1,1,safe,safe
390,1,1,safe,safe
391,1,1,safe,safe
392,1,1,safe,safe
